insert_time,delete_time
0.004675,0.004529
0.005016,0.005456
0.004470,0.004550
0.004379,0.004667
0.004368,0.004584
0.004550,0.004606
0.005158,0.005030
0.004471,0.004716
0.004591,0.004734
0.004525,0.004551
0.005222,0.005341
0.004667,0.004696
0.004524,0.004850
0.004782,0.004711
0.005212,0.004970
0.004652,0.004591
0.004580,0.004755
0.004501,0.004782
0.004753,0.004713
0.004728,0.004674
0.004612,0.004761
0.004463,0.004812
0.004599,0.004865
0.004759,0.004793
0.004651,0.004768
0.005331,0.005234
0.004564,0.004704
0.004544,0.004728
0.004584,0.004795
0.004775,0.004710
0.004770,0.004729
0.005270,0.005514
0.004656,0.004860
0.004755,0.004764
0.005476,0.004882
0.004703,0.004734
0.005266,0.005000
0.005353,0.005524
0.004819,0.004907
0.005312,0.004779
0.005035,0.004824
0.006781,0.007792
0.005002,0.004844
0.006076,0.004822
0.004700,0.005252
0.004887,0.005384
0.005371,0.006049
0.005429,0.007548
0.004859,0.005498
0.006065,0.005680
0.005078,0.006391
0.004990,0.005583
0.004906,0.004862
0.005180,0.005040
0.004916,0.005198
0.005384,0.005215
0.005315,0.006712
0.004953,0.006264
0.004999,0.005217
0.005069,0.004961
0.005002,0.005096
0.006144,0.005440
0.004903,0.005161
0.004939,0.005435
0.006218,0.005190
0.005256,0.005179
0.005126,0.005841
0.004980,0.005410
0.004845,0.005150
0.005022,0.005369
0.004886,0.005151
0.005497,0.005320
0.005602,0.005657
0.005102,0.005055
0.005051,0.005345
0.005050,0.005036
0.004929,0.005343
0.005196,0.005196
0.005020,0.005156
0.005833,0.005371
0.005127,0.005106
0.004980,0.005096
0.004990,0.005251
0.005028,0.005225
0.005101,0.005082
0.005217,0.005396
0.004975,0.005095
0.005432,0.005122
0.005128,0.005160
0.005099,0.005525
0.005065,0.005372
0.005063,0.005255
0.004997,0.005095
0.005472,0.005111
0.005043,0.005210
0.005335,0.005467
0.005063,0.005323
0.005018,0.005205
0.005071,0.005301
0.005006,0.005405
0.005132,0.005409
0.005392,0.005482
0.005235,0.005577
0.005122,0.005260
0.005294,0.005211
0.005129,0.005328
0.005191,0.005280
0.005090,0.005302
0.005479,0.007595
0.011733,0.007373
0.005190,0.005449
0.005177,0.005392
0.005212,0.005490
0.005392,0.005580
0.005474,0.005925
0.005150,0.005353
0.006434,0.005600
0.006132,0.006551
0.006074,0.005647
0.005401,0.006350
0.005409,0.005549
0.005382,0.005364
0.005411,0.005835
0.005262,0.005411
0.005585,0.005830
0.005195,0.005552
0.005361,0.005520
0.005233,0.005504
0.005329,0.006127
0.005847,0.005492
0.005271,0.005571
0.005393,0.005780
0.006208,0.006275
0.005287,0.005648
0.005380,0.005427
0.005340,0.005478
0.005314,0.005506
0.005411,0.005519
0.005873,0.005495
0.005593,0.005527
0.005322,0.005597
0.006148,0.005965
0.005778,0.005686
0.006122,0.005626
0.005777,0.005592
0.005605,0.005497
0.005434,0.005622
0.005586,0.005595
0.006406,0.005894
0.005657,0.005756
0.005300,0.005593
0.005429,0.005636
0.005344,0.005775
0.005856,0.005769
0.006176,0.005725
0.005703,0.006199
0.005796,0.005752
0.005555,0.005739
0.005457,0.005678
0.005589,0.005754
0.006132,0.005751
0.005749,0.005711
0.005591,0.005967
0.005465,0.005703
0.005462,0.005799
0.005596,0.005693
0.005721,0.005655
0.005509,0.005841
0.005679,0.006026
0.005737,0.005737
0.006750,0.006557
0.005632,0.005971
0.005736,0.005969
0.005526,0.005775
0.006471,0.005973
0.005599,0.005756
0.005589,0.005837
0.005580,0.005916
0.005717,0.005798
0.006467,0.005983
0.005723,0.005869
0.006209,0.005798
0.005598,0.005819
0.005923,0.005885
0.005682,0.005802
0.005879,0.005846
0.005756,0.006156
0.005649,0.005801
0.006028,0.006116
0.006014,0.005965
0.005736,0.005938
0.005947,0.005909
0.006067,0.005906
0.005805,0.006118
0.006782,0.006419
0.006010,0.006042
0.010517,0.006086
0.006798,0.006271
0.005795,0.005990
0.006843,0.006625
0.005883,0.005954
0.005725,0.006340
0.005983,0.006126
0.005888,0.005935
0.006952,0.007026
0.006063,0.006123
0.005735,0.006105
0.005718,0.005980
0.006977,0.006529
0.006019,0.006171
0.005871,0.006182
0.006233,0.006294
0.006222,0.006106
0.005819,0.006120
0.005919,0.006224
0.006920,0.006267
0.007043,0.006517
0.006238,0.006052
0.006947,0.006482
0.005892,0.006361
0.007099,0.006239
0.005919,0.006182
0.007286,0.006290
0.005952,0.006161
0.005946,0.006265
0.006096,0.006169
0.005995,0.006139
0.006114,0.006291
0.006213,0.006085
0.007060,0.006832
0.006012,0.006206
0.006031,0.006327
0.006112,0.006270
0.006315,0.006319
0.005998,0.006524
0.005988,0.006305
0.005959,0.006446
0.006036,0.006422
0.006113,0.006376
0.006058,0.006238
0.007109,0.006224
0.006181,0.006296
0.006183,0.006312
0.006071,0.006266
0.006647,0.006341
0.006743,0.006421
0.006100,0.006268
0.006144,0.006459
0.006309,0.006500
0.006252,0.006353
0.006081,0.006486
0.006012,0.006646
0.006114,0.006353
0.006355,0.006335
0.007158,0.006343
0.006138,0.006493
0.006216,0.006428
0.006902,0.006342
0.006518,0.006382
0.006687,0.006443
0.006186,0.006360
0.006250,0.006620
0.006231,0.006671
0.006408,0.006535
0.007272,0.006692
0.006331,0.006526
0.006495,0.006463
0.007493,0.007247
0.007052,0.006728
0.006219,0.006540
0.006259,0.006590
0.006731,0.006636
0.007130,0.006607
0.007121,0.006506
0.006700,0.006561
0.006290,0.006871
0.006304,0.006682
0.006383,0.006578
0.006626,0.006534
0.006429,0.006623
0.006370,0.006575
0.007440,0.006918
0.006329,0.006702
0.006746,0.006591
0.006301,0.006798
0.007671,0.006918
0.007127,0.006575
0.006442,0.006636
0.006387,0.006914
0.006290,0.006776
0.006394,0.006730
0.008591,0.006766
0.006384,0.006829
0.006364,0.006701
0.006579,0.006647
0.006522,0.006816
0.006453,0.006667
0.006636,0.006696
0.006476,0.006854
0.006702,0.006799
0.006579,0.006800
0.006484,0.006901
0.007138,0.006753
0.006537,0.006883
0.006688,0.006732
0.006659,0.006707
0.007818,0.006762
0.006496,0.007282
0.007053,0.006921
0.006915,0.006936
0.006941,0.006769
0.006569,0.006904
0.006674,0.006848
0.007063,0.006937
0.006697,0.006825
0.006536,0.007056
0.006862,0.007181
0.006891,0.007050
0.007088,0.008090
0.006572,0.007005
0.006622,0.007181
0.006737,0.006875
0.006930,0.006941
0.006925,0.007091
0.006763,0.007021
0.006733,0.007061
0.006691,0.007125
0.006701,0.006997
0.006746,0.006894
0.006722,0.007102
0.007160,0.007309
0.008037,0.007194
0.007855,0.007188
0.006876,0.007082
0.006784,0.007124
0.006864,0.007111
0.007697,0.007302
0.007210,0.007044
0.006726,0.007071
0.007073,0.007118
0.007639,0.007176
0.006810,0.007183
0.007414,0.007178
0.007006,0.007181
0.008075,0.007183
0.007490,0.007176
0.007131,0.007281
0.007117,0.007751
0.007283,0.007097
0.007659,0.007161
0.006962,0.007266
0.007290,0.007322
0.007680,0.007886
0.007120,0.007167
0.007035,0.007329
0.006897,0.007238
0.007000,0.007465
0.007081,0.007148
0.007156,0.007204
0.008077,0.008293
0.007639,0.007609
0.007087,0.007200
0.006975,0.007522
0.007577,0.007253
0.007648,0.009548
0.007139,0.007739
0.007196,0.007455
0.007299,0.007490
0.007142,0.007409
0.007335,0.007369
0.007113,0.007305
0.007225,0.007508
0.007077,0.007323
0.007570,0.007427
0.007103,0.007431
0.007129,0.007605
0.007199,0.007508
0.007383,0.007457
0.007117,0.007470
0.007110,0.007306
0.007333,0.007317
0.008341,0.007753
0.007133,0.007339
0.007682,0.007623
0.007483,0.007664
0.007034,0.007380
0.007759,0.007716
0.008744,0.007704
0.007620,0.007739
0.007428,0.007440
0.007509,0.007529
0.007221,0.007656
0.007421,0.007447
0.007562,0.007565
0.007139,0.007497
0.007794,0.007487
0.007152,0.007606
0.007651,0.007696
0.008771,0.007990
0.008575,0.007586
0.007401,0.007548
0.007266,0.008154
0.007822,0.007624
0.007439,0.007873
0.007776,0.008101
0.008079,0.007771
0.010365,0.008940
0.007821,0.008586
0.010251,0.011254
0.007967,0.009874
0.008114,0.008272
0.007474,0.007830
0.007664,0.007778
0.007526,0.007735
0.007418,0.008029
0.007848,0.007646
0.007662,0.007680
0.007576,0.007919
0.007419,0.007790
0.007464,0.007847
0.007329,0.007768
0.008560,0.007909
0.007773,0.007926
0.007881,0.008046
0.007681,0.008190
0.007929,0.007865
0.007658,0.008143
0.007702,0.008117
0.007791,0.008054
0.007689,0.007896
0.007785,0.007918
0.007536,0.007907
0.007557,0.007955
0.008506,0.007904
0.008239,0.008787
0.008169,0.007916
0.008076,0.007956
0.008331,0.008004
0.007837,0.009558
0.007684,0.007906
0.007525,0.007953
0.007925,0.007917
0.008197,0.008268
0.007662,0.008162
0.007773,0.007912
0.007679,0.008152
0.007849,0.007995
0.008348,0.009111
0.009138,0.008749
0.007690,0.007853
0.007653,0.007918
0.007853,0.008139
0.007690,0.008185
0.007794,0.008363
0.007757,0.008013
0.008806,0.008046
0.008467,0.008275
0.007970,0.008103
0.007714,0.008223
0.007889,0.008058
0.007691,0.008194
0.007772,0.008332
0.007966,0.008169
0.007815,0.008127
0.008715,0.008079
0.007991,0.008183
0.007854,0.008111
